No,質問,回答
1,本校の教育方針とご家庭の教育方針と一致する点は何ですか。,私たちは、子どもが自分で好きなことや興味を見つけ、それを主体的に伸ばしていけるよう支えることを大切にしています。明星小学校の、一人ひとりを大切にしながら学ぶ楽しさを育てる教育方針に共感しました。
2,最近お子さんがチャレンジ（頑張っている）していることは何ですか。,野球に継続して取り組んでいることです。また、自転車にも挑戦し、友達が乗っている姿に刺激を受けて短時間で乗れるようになりました。好きなことや友達から学ぶ力があると感じています。
3,学校の特色と絡めて志望理由を教えてください。,体験授業で、先生方が一人ひとりをよく見てくださる姿勢に感銘を受けました。一度手を挙げても指されなかった子にも後から声を掛ける様子や、算数を楽しめる工夫が印象的でした。慎重な息子も安心して手を挙げていた姿を見て、この学校で成長してほしいと思いました。
4,子どもの長所を3つ教えてください。,好奇心が旺盛なこと、友達を大切にできること、最後まで粘り強く取り組めることです。
5,子育てにおいて心がけている事は何ですか。,子どもの「やってみたい」という気持ちを大切にすることです。結果よりも挑戦する過程を認め、小さな成功体験を積み重ねられるよう意識しています。
6,小学校に求めること。,学力だけでなく、人との関わりや思いやり、主体性を育てていただける環境を期待しています。また、子どもの興味を大切にしながら成長を支えていただけることを望んでいます。
7,ご家庭の教育方針を教えて下さい。,さまざまな体験を通して、自分の好きなことを見つけ、自分から学ぼうとする姿勢を育てることです。親は環境を整え、挑戦を応援する存在でありたいと考えています。
8,本校の特色をどのようにとらえ、理解されていますか。,先生方がお子さん一人ひとりを丁寧に見てくださること、学ぶ楽しさを大切にされていること、そして温かい校風が大きな魅力だと感じています。
9,小学校で何を学んで欲しいですか。,知識だけではなく、自分で考え、友達と協力しながら課題を解決する力を身につけてほしいと思っています。
10,本校の教育理念や教育目標についてのお考えをお聞かせください。,子どもの可能性を信じ、一人ひとりを大切に育てようとする姿勢に共感しています。安心して挑戦できる環境が、息子にはとても合っていると感じています。
11,受験を考え始めた時期と動機を教えてください。,年中の終わり頃から小学校について調べ始めました。体験授業や説明会を通して、明星小学校の教育方針と校風に魅力を感じ、志望するようになりました。
12,お子さんと普段どのように過ごしていますか。,休日はキャンプや公園、ドライブなど自然の中で過ごすことが多いです。虫探しや生き物の観察を一緒に楽しんでいます。
13,引っ越しをされて、お仕事への影響は大丈夫ですか。,家族で十分に話し合った上での判断ですので、仕事との両立も問題ないよう調整しております。
14,お子さまとの接し方で、気をつけているのはどんな事ですか。,まず本人の話を最後まで聞くことです。その上で一緒に考え、できたことをしっかり認めるようにしています。
15,仕事で気をつけていることはどんな事ですか。,相手の立場を考え、分かりやすく伝えることです。社内教育にも携わっているため、一人ひとりに合わせた伝え方を意識しています。
16,仕事をするうえで大切にしていることを教えてください。,信頼関係を築くことと、人を育てる視点を持つことです。
17,お子さんはどんな時に目が輝いていますか。,虫を観察している時や、新しい発見をした時です。また、友達と一緒に遊んでいる時もとても生き生きしています。
18,明星小学校はどこで知りましたか。,小学校を調べる中で知り、説明会や体験授業に参加して魅力を感じました。
19,海外転勤の可能性はありますか。,現時点では予定はありません。
20,お子さんを叱る時はどんな時ですか。,人を傷つける言動や、危険な行動をした時です。なぜいけないのかを一緒に考えながら伝えるようにしています。
21,本校をお知りになった経緯を詳しく教えてください。,教育方針や学校説明会を調べる中で興味を持ち、実際に学校を訪れて先生方や子どもたちの様子を見て志望するようになりました。
22,本校受験を考えたのはいつ頃ですか。その動機は何でしょうか。,年中の頃から検討し始めました。息子の性格に合った環境で学ばせたいと考えたことがきっかけです。
23,本校教育方針についての感想をお聞かせ下さい。,子ども一人ひとりを尊重し、主体性を育てる教育だと感じています。
24,学校までの通学方法と時間を教えてください。,（実際の通学経路・時間を記入してください）
25,仕事上一番心がけていることは何ですか。,相手を尊重し、分かりやすく伝えることです。
26,説明会には来られましたか。その時の印象はいかがでしたか。,はい。先生方や在校生の雰囲気が温かく、子どもたちが楽しそうに学んでいる姿が印象的でした。
27,勤務先の名前と仕事の内容を教えて下さい。,○○会社でシステムエンジニアとして勤務しております。現在は社内の教育や人材育成にも携わっています。
28,どんな時にお子さんを褒めますか。どんな時に叱りますか。,挑戦したことや努力したことは積極的に褒めます。叱るのは人を傷つけたり約束を守れなかった時です。
29,休日は、お子さんとどのように過ごされていますか。,キャンプや公園、虫探し、自転車など、自然の中で体を動かして過ごすことが多いです。
30,家庭での父親としての役割をどう考えていますか。,さまざまな体験の機会をつくり、子どもの興味や挑戦を後押しする役割だと考えています。
31,お子さんに善と悪をどのように教えていますか。,頭ごなしに叱るのではなく、「相手はどう思うかな」と一緒に考えさせながら、自分で判断できるように伝えています。
